,h_last_256,h_pool_256,h_last_mid_256,h_pool_mid_256,scalars_256
h_last_256,0.029851263708674795,0.05980583903165807,0.018945391027118688,0.6439860159579177,0.2474114902736307
h_pool_256,0.0810640855202544,0.05169922382801641,0.030650675194171865,0.533756369471354,0.3028296459852033
h_last_mid_256,0.05574886279195154,0.05642856248033464,0.021718923200325414,0.5842317729626189,0.28187187856376944
h_pool_mid_256,0.1688441682193408,0.0558555812767354,0.08586388134452365,0.4202945510838888,0.26914181807451126
scalars_256,0.00689419204660537,0.06514078714727939,0.014478475369336382,0.7162923572538227,0.1971941881819561
