,CLS,h_last_256,h_pool_256,h_last_mid_256,h_pool_mid_256,scalars_256
CLS,0.3913563028296032,0.12362419115879618,0.08754885257194804,0.13267055942600156,0.11465376852197741,0.1501463254906735
h_last_256,0.30347694394916347,0.13681547297614002,0.11623042847813099,0.15243280462603753,0.13304045932674985,0.15800389064277814
h_pool_256,0.38258246102362786,0.12453540088423332,0.08905431288864615,0.13581527261353588,0.11652795641309276,0.1514845961758641
h_last_mid_256,0.3861406796451111,0.12393729412578339,0.08702642608224227,0.13663766270505945,0.11538007325268877,0.1508778641881149
h_pool_mid_256,0.3777267028264834,0.12483264191576096,0.09054140069361644,0.1377959638707937,0.11736091845463144,0.15174237223771395
scalars_256,0.3016850211701646,0.1382327251271808,0.11604074700549026,0.1522003192980192,0.13276277705854345,0.15907841033960174
