,CLS,h_last_256,h_pool_256,h_last_mid_256,h_pool_mid_256,scalars_256
CLS,0.13470768532814018,0.0702841336965731,0.15772442896873526,0.22762578070060419,0.2957874460564174,0.11387052524852992
h_last_256,6.001295868800136e-06,0.7501455615065329,0.12464433900377347,0.12500130377052115,1.0582239291309318e-06,0.00020173619837452855
h_pool_256,3.865489197174993e-08,0.12465083977349259,0.2510493175349253,0.3750000523264353,0.12452977063270465,0.12476998107655018
h_last_mid_256,1.0041558129366913e-07,0.12487355912771599,0.12538796118253082,0.5000000005487898,0.1250000019998426,0.12473837672453959
h_pool_mid_256,6.35176931448261e-06,0.12470322213366979,0.3556920540001301,0.4991343028520014,6.232814127988608e-05,0.020401741102604273
scalars_256,1.4040026696948283e-07,0.6250510310099655,0.12486949695783178,0.2497484021363422,7.315140942885493e-07,0.0003301979804992491
