,CLS,h_last_256,h_pool_256,h_last_mid_256,h_pool_mid_256,scalars_256
CLS,0.031300375900083145,0.04791534500201639,0.5309949883592185,0.03341757735069109,0.09878197300845427,0.2575897403785365
h_last_256,0.03910133860708466,0.050720452496285665,0.39524131769586374,0.038206487087236424,0.1813700726578017,0.29536033145472784
h_pool_256,0.055965518399840465,0.12968933183062084,0.16193838686727663,0.10867882016824262,0.3291683251132,0.21455961761981948
h_last_mid_256,0.033173627879933776,0.04305925680895307,0.5175562643934962,0.03769513168636766,0.11677547064973531,0.25174024858051386
h_pool_mid_256,0.034219219559998716,0.0526206442890487,0.5166404134280252,0.04071486478134744,0.10214793978511057,0.25365691815546926
scalars_256,0.04624460732850493,0.06101248090196469,0.4605240339690517,0.0489402543980792,0.04876674341441226,0.3345118799869872
