,CLS,h_last_256,h_pool_256,h_last_mid_256,h_pool_mid_256,scalars_256
CLS,0.08689319694731565,0.12058945122325625,0.4242100623069365,0.08630651868098979,0.16961173119512724,0.11238903964537453
h_last_256,0.08649562360153033,0.10092728919925398,0.4473511746247438,0.08537501064912256,0.17296997207024542,0.10688092985410384
h_pool_256,0.14533955258366005,0.23458195148865882,0.21338552462546334,0.1258659514147758,0.14314392794494904,0.13768309194149295
h_last_mid_256,0.09025962295050019,0.13159084810227192,0.41005189420624033,0.08726917130355225,0.16563750461777407,0.11519095881866127
h_pool_mid_256,0.0928045754252979,0.14742323211139527,0.3856302801381948,0.09139411346176265,0.1622832176853986,0.12046458117695082
scalars_256,0.09564499840461399,0.1314838786469959,0.4014501906792326,0.09148812953850298,0.16284922917497607,0.11708357355467838
