,CLS,h_last_256,h_pool_256,h_last_mid_256,h_pool_mid_256,scalars_256
CLS,0.1723803306830453,0.15014353822955204,0.179854524060362,0.1539828652662841,0.17461475981238442,0.16902398194737214
h_last_256,0.049116711194375294,0.054354831545799814,0.33155819932002406,0.22685175360140677,0.2726647880106012,0.06545371632679282
h_pool_256,0.08938491754432783,0.045690003973949664,0.26721304394507017,0.05801555678342256,0.18782253828365333,0.3518739394685765
h_last_mid_256,0.04413506963191515,0.02291213285935521,0.20897046516881987,0.16241766212665767,0.5206611120090657,0.04090355820318627
h_pool_mid_256,0.031289813007311026,0.04003843711729858,0.44465073343148154,0.08786087026648833,0.32759641492236724,0.06856373125405332
scalars_256,0.011247332470911161,0.016133736796542064,0.11314619386934231,0.005422746949747796,0.22524028378829558,0.6288097061241611
